holiday,ds,upper_window,lower_window
article_post,2018-12-18T00:00:00Z,2,0
article_post,2018-12-19T00:00:00Z,2,0
article_post,2018-12-22T00:00:00Z,2,0
article_post,2018-12-23T00:00:00Z,2,0
article_post,2018-12-23T00:00:00Z,2,0
article_post,2018-12-24T00:00:00Z,2,0
article_post,2018-12-26T00:00:00Z,2,0
article_post,2018-12-29T00:00:00Z,2,0
article_post,2018-12-29T00:00:00Z,2,0
article_post,2018-12-30T00:00:00Z,2,0
article_post,2018-12-31T00:00:00Z,2,0
article_post,2019-01-01T00:00:00Z,2,0
article_post,2019-01-04T00:00:00Z,2,0
article_post,2019-01-05T00:00:00Z,2,0
article_post,2019-01-08T00:00:00Z,2,0
article_post,2019-01-12T00:00:00Z,2,0
article_post,2019-01-13T00:00:00Z,2,0
article_post,2019-01-19T00:00:00Z,2,0
article_post,2019-01-20T00:00:00Z,2,0
article_post,2019-01-27T00:00:00Z,2,0
article_post,2019-01-31T00:00:00Z,2,0
article_post,2019-02-07T00:00:00Z,2,0
article_post,2019-02-11T00:00:00Z,2,0
article_post,2019-02-14T00:00:00Z,2,0
article_post,2019-02-16T00:00:00Z,2,0
article_post,2019-02-17T00:00:00Z,2,0
article_post,2019-02-20T00:00:00Z,2,0
article_post,2019-02-23T00:00:00Z,2,0
article_post,2019-02-24T00:00:00Z,2,0
article_post,2019-02-28T00:00:00Z,2,0
article_post,2019-03-12T00:00:00Z,2,0
article_post,2019-03-16T00:00:00Z,2,0
article_post,2019-03-21T00:00:00Z,2,0
article_post,2019-03-23T00:00:00Z,2,0
article_post,2019-03-29T00:00:00Z,2,0
article_post,2019-03-30T00:00:00Z,2,0
article_post,2019-03-30T00:00:00Z,2,0
article_post,2019-04-15T00:00:00Z,2,0
article_post,2019-04-21T00:00:00Z,2,0
article_post,2019-05-01T00:00:00Z,2,0
article_post,2019-05-05T00:00:00Z,2,0
article_post,2019-05-10T00:00:00Z,2,0
article_post,2019-05-11T00:00:00Z,2,0
article_post,2019-05-18T00:00:00Z,2,0
article_post,2019-05-26T00:00:00Z,2,0
article_post,2019-06-02T00:00:00Z,2,0
article_post,2019-06-08T00:00:00Z,2,0
article_post,2019-06-14T00:00:00Z,2,0
article_post,2019-06-29T00:00:00Z,2,0
article_post,2019-07-03T00:00:00Z,2,0
article_post,2019-07-07T00:00:00Z,2,0
article_post,2019-07-13T00:00:00Z,2,0
article_post,2019-07-21T00:00:00Z,2,0
article_post,2019-07-28T00:00:00Z,2,0
article_post,2019-08-04T00:00:00Z,2,0
article_post,2019-08-11T00:00:00Z,2,0
article_post,2019-08-18T00:00:00Z,2,0
article_post,2019-08-25T00:00:00Z,2,0
article_post,2019-09-01T00:00:00Z,2,0
article_post,2019-09-08T00:00:00Z,2,0
